url,name,district_id,school_level
https://www.zipdatamaps.com/schools/colorado/district/map-of-estes-park-school-district-r-3-co-middle-school-attendance-zones,estes-park,r-3,middle
https://www.zipdatamaps.com/schools/colorado/district/map-of-fountain-school-district-8-co-elementary-school-attendance-zones,fountain,8,elementary
https://www.zipdatamaps.com/schools/colorado/district/map-of-fountain-school-district-8-co-high-school-attendance-zones,fountain,8,high
https://www.zipdatamaps.com/schools/colorado/district/map-of-fountain-school-district-8-co-middle-school-attendance-zones,fountain,8,middle
https://www.zipdatamaps.com/schools/colorado/district/map-of-fowler-school-district-r-4j-co-elementary-school-attendance-zones,fowler,r-4j,elementary
https://www.zipdatamaps.com/schools/colorado/district/map-of-greeley-school-district-6-co-elementary-school-attendance-zones,greeley,6,elementary
https://www.zipdatamaps.com/schools/colorado/district/map-of-greeley-school-district-6-co-high-school-attendance-zones,greeley,6,high
https://www.zipdatamaps.com/schools/colorado/district/map-of-greeley-school-district-6-co-middle-school-attendance-zones,greeley,6,middle
https://www.zipdatamaps.com/schools/colorado/district/map-of-hanover-school-district-28-co-elementary-school-attendance-zones,hanover,28,elementary
https://www.zipdatamaps.com/schools/colorado/district/map-of-harrison-school-district-2-co-elementary-school-attendance-zones,harrison,2,elementary
https://www.zipdatamaps.com/schools/colorado/district/map-of-harrison-school-district-2-co-high-school-attendance-zones,harrison,2,high
https://www.zipdatamaps.com/schools/colorado/district/map-of-harrison-school-district-2-co-middle-school-attendance-zones,harrison,2,middle
https://www.zipdatamaps.com/schools/colorado/district/map-of-jefferson-county-school-district-r-1-co-elementary-school-attendance-zones,jefferson-county,r-1,elementary
https://www.zipdatamaps.com/schools/colorado/district/map-of-jefferson-county-school-district-r-1-co-high-school-attendance-zones,jefferson-county,r-1,high
https://www.zipdatamaps.com/schools/colorado/district/map-of-jefferson-county-school-district-r-1-co-middle-school-attendance-zones,jefferson-county,r-1,middle
https://www.zipdatamaps.com/schools/colorado/district/map-of-lewis-palmer-school-district-38-co-elementary-school-attendance-zones,lewis-palmer,38,elementary
https://www.zipdatamaps.com/schools/colorado/district/map-of-lewis-palmer-school-district-38-co-high-school-attendance-zones,lewis-palmer,38,high
https://www.zipdatamaps.com/schools/colorado/district/map-of-lewis-palmer-school-district-38-co-middle-school-attendance-zones,lewis-palmer,38,middle
https://www.zipdatamaps.com/schools/colorado/district/map-of-littleton-school-district-6-co-elementary-school-attendance-zones,littleton,6,elementary
https://www.zipdatamaps.com/schools/colorado/district/map-of-littleton-school-district-6-co-high-school-attendance-zones,littleton,6,high
https://www.zipdatamaps.com/schools/colorado/district/map-of-littleton-school-district-6-co-middle-school-attendance-zones,littleton,6,middle
https://www.zipdatamaps.com/schools/colorado/district/map-of-manitou-springs-school-district-14-co-elementary-school-attendance-zones,manitou-springs,14,elementary
https://www.zipdatamaps.com/schools/colorado/district/map-of-manitou-springs-school-district-14-co-high-school-attendance-zones,manitou-springs,14,high
https://www.zipdatamaps.com/schools/colorado/district/map-of-manitou-springs-school-district-14-co-middle-school-attendance-zones,manitou-springs,14,middle
https://www.zipdatamaps.com/schools/colorado/district/map-of-miami-yoder-school-district-60-jt-co-elementary-school-attendance-zones,miami-yoder,60-jt,elementary
https://www.zipdatamaps.com/schools/colorado/district/map-of-miami-yoder-school-district-60-jt-co-high-school-attendance-zones,miami-yoder,60-jt,high
https://www.zipdatamaps.com/schools/colorado/district/map-of-peyton-school-district-23-jt-co-elementary-school-attendance-zones,peyton,23-jt,elementary
https://www.zipdatamaps.com/schools/colorado/district/map-of-peyton-school-district-23-jt-co-high-school-attendance-zones,peyton,23-jt,high
https://www.zipdatamaps.com/schools/colorado/district/map-of-peyton-school-district-23-jt-co-middle-school-attendance-zones,peyton,23-jt,middle
https://www.zipdatamaps.com/schools/colorado/district/map-of-poudre-school-district-r-1-co-elementary-school-attendance-zones,poudre,r-1,elementary
https://www.zipdatamaps.com/schools/colorado/district/map-of-poudre-school-district-r-1-co-high-school-attendance-zones,poudre,r-1,high
https://www.zipdatamaps.com/schools/colorado/district/map-of-poudre-school-district-r-1-co-middle-school-attendance-zones,poudre,r-1,middle
https://www.zipdatamaps.com/schools/colorado/district/map-of-pueblo-city-school-district-60-co-elementary-school-attendance-zones,pueblo-city,60,elementary
https://www.zipdatamaps.com/schools/colorado/district/map-of-pueblo-city-school-district-60-co-high-school-attendance-zones,pueblo-city,60,high
https://www.zipdatamaps.com/schools/colorado/district/map-of-pueblo-city-school-district-60-co-middle-school-attendance-zones,pueblo-city,60,middle
https://www.zipdatamaps.com/schools/colorado/district/map-of-pueblo-county-school-district-70-co-elementary-school-attendance-zones,pueblo-county,70,elementary
https://www.zipdatamaps.com/schools/colorado/district/map-of-pueblo-county-school-district-70-co-high-school-attendance-zones,pueblo-county,70,high
https://www.zipdatamaps.com/schools/colorado/district/map-of-pueblo-county-school-district-70-co-middle-school-attendance-zones,pueblo-county,70,middle
https://www.zipdatamaps.com/schools/colorado/district/map-of-sheridan-school-district-2-co-elementary-school-attendance-zones,sheridan,2,elementary
