Rank,District,District URL,district_id,City,City URL,Zip,County,Low Grade,High Grade,Number Students,Number of Ranked Elementary Schools,Number of Ranked Middle Schools,Number of Ranked High Schools,Rank Score (2021),Rank Score (2020),Rank (2020),Rank Change from 2020,SchoolDigger Star Rating (2021)
59,Fremont Re-2,https://www.schooldigger.com/go/CO/district/03960/search.aspx,"""03960""",Florence,https://www.schooldigger.com/go/CO/city/Florence/search.aspx,81226,Fremont County,PK,12,1398,2,1,1,0.3116679,0.3808418,84,25,2
60,Montrose County School District Re-1J,https://www.schooldigger.com/go/CO/district/05790/search.aspx,"""05790""",Montrose,https://www.schooldigger.com/go/CO/city/Montrose/search.aspx,81401,Montrose County,PK,12,6215,4,2,1,0.3081438,0.4377892,68,8,1
61,Moffat County School District RE: No. 1,https://www.schooldigger.com/go/CO/district/05730/search.aspx,"""05730""",Craig,https://www.schooldigger.com/go/CO/city/Craig/search.aspx,81625,Moffat County,PK,12,2202,2,1,1,0.3057292,0.3638925,93,32,1
62,School District 27J,https://www.schooldigger.com/go/CO/district/02580/search.aspx,"""02580""",Brighton,https://www.schooldigger.com/go/CO/city/Brighton/search.aspx,80601,Adams County,PK,12,19275,14,9,3,0.3037396,0.4178304,71,9,1
63,Dolores School District No. Re-4A,https://www.schooldigger.com/go/CO/district/03390/search.aspx,"""03390""",Dolores,https://www.schooldigger.com/go/CO/city/Dolores/search.aspx,81323,Montezuma County,PK,12,692,1,1,0,0.3010847,0.3906882,80,17,1
64,Ellicott School District No. 22,https://www.schooldigger.com/go/CO/district/03750/search.aspx,"""03750""",Calhan,https://www.schooldigger.com/go/CO/city/Calhan/search.aspx,80808,El Paso County,PK,12,1142,1,1,1,0.289434,0.3985645,75,11,1
65,Lamar School District No. Re-2,https://www.schooldigger.com/go/CO/district/05220/search.aspx,"""05220""",Lamar,https://www.schooldigger.com/go/CO/city/Lamar/search.aspx,81052,Prowers County,PK,12,1588,1,1,1,0.2847427,0.4181535,70,5,1
66,Weld County School District Re-3j,https://www.schooldigger.com/go/CO/district/04920/search.aspx,"""04920""",Hudson,https://www.schooldigger.com/go/CO/city/Hudson/search.aspx,80642,Weld County,PK,12,2697,4,2,1,0.2825385,0.4088102,74,8,1
67,Bayfield School District No. 10Jt-R,https://www.schooldigger.com/go/CO/district/02400/search.aspx,"""02400""",Bayfield,https://www.schooldigger.com/go/CO/city/Bayfield/search.aspx,81122,La Plata County,PK,12,1363,1,1,1,0.2753895,0.4193222,69,2,1
68,Weld re-8 schools,https://www.schooldigger.com/go/CO/district/04020/search.aspx,"""04020""",Fort Lupton,https://www.schooldigger.com/go/CO/city/Fort+Lupton/search.aspx,80621,Weld County,PK,12,2452,3,2,1,0.2633243,0.3709297,90,22,1
69,Weld County Reorganized School District No. Re-1,https://www.schooldigger.com/go/CO/district/04200/search.aspx,"""04200""",Gilcrest,https://www.schooldigger.com/go/CO/city/Gilcrest/search.aspx,80623,Weld County,PK,12,1953,3,2,1,0.2497986,0.3881303,81,12,1
70,Harrison School District No. 2,https://www.schooldigger.com/go/CO/district/04530/search.aspx,"""04530""",Colorado Springs,https://www.schooldigger.com/go/CO/city/Colorado+Springs/search.aspx,80905,El Paso County,PK,12,11543,13,6,3,0.2478823,0.4642931,64,-6,1
71,Garfield School District No. Re-2,https://www.schooldigger.com/go/CO/district/06240/search.aspx,"""06240""",Rifle,https://www.schooldigger.com/go/CO/city/Rifle/search.aspx,81650,Garfield County,PK,12,4802,4,2,2,0.2402072,0.3816454,83,12,1
72,Yuma 1 School District,https://www.schooldigger.com/go/CO/district/00016/search.aspx,"""00016""",Yuma,https://www.schooldigger.com/go/CO/city/Yuma/search.aspx,80759,Yuma County,PK,12,903,0,1,1,0.2338561,0.3913585,79,7,1
73,GreeleySchool District No. 6,https://www.schooldigger.com/go/CO/district/04410/search.aspx,"""04410""",Greeley,https://www.schooldigger.com/go/CO/city/Greeley/search.aspx,80631,Weld County,PK,12,22544,15,12,6,0.2300661,0.343421,96,23,1
74,Pueblo School District No. 60,https://www.schooldigger.com/go/CO/district/06120/search.aspx,"""06120""",Pueblo,https://www.schooldigger.com/go/CO/city/Pueblo/search.aspx,81003,Pueblo County,PK,12,16024,15,6,3,0.228553,0.2747186,109,35,1
75,Weld County School District No. Re-5J,https://www.schooldigger.com/go/CO/district/04830/search.aspx,"""04830""",Milliken,https://www.schooldigger.com/go/CO/city/Milliken/search.aspx,80543,Weld County,PK,12,3969,4,0,1,0.2277984,0.330555,98,23,1
76,Aurora Joint District No. 28,https://www.schooldigger.com/go/CO/district/02340/search.aspx,"""02340""",Aurora,https://www.schooldigger.com/go/CO/city/Aurora/search.aspx,80011,Arapahoe County,PK,12,40069,19,16,3,0.2184838,0.2272832,117,41,0
77,Mapleton School District No. 1,https://www.schooldigger.com/go/CO/district/05550/search.aspx,"""05550""",Denver,https://www.schooldigger.com/go/CO/city/Denver/search.aspx,80221,Adams County,PK,12,9131,7,5,1,0.2094509,0.2151377,119,42,0
78,Bennett School District No. 29J,https://www.schooldigger.com/go/CO/district/02430/search.aspx,"""02430""",Bennett,https://www.schooldigger.com/go/CO/city/Bennett/search.aspx,80102,Adams County,PK,12,1117,1,1,1,0.1597282,0.3806606,85,7,0
79,Upper Rio Grande School District C-7,https://www.schooldigger.com/go/CO/district/03300/search.aspx,"""03300""",Del Norte,https://www.schooldigger.com/go/CO/city/Del+Norte/search.aspx,81132,Rio Grande County,PK,12,421,1,0,0,0.1564722,0.2549306,113,34,0
80,Grand Valley School District No. 16,https://www.schooldigger.com/go/CO/district/04380/search.aspx,"""04380""",Parachute,https://www.schooldigger.com/go/CO/city/Parachute/search.aspx,81635,Garfield County,PK,12,1341,1,1,1,0.1263131,0.2051311,120,40,0
81,Ignacio School District No. 11Jt,https://www.schooldigger.com/go/CO/district/04770/search.aspx,"""04770""",Ignacio,https://www.schooldigger.com/go/CO/city/Ignacio/search.aspx,81137,La Plata County,PK,12,725,1,1,0,0.1127544,0.120626,123,42,0
82,Lake County School District No. R-1,https://www.schooldigger.com/go/CO/district/05190/search.aspx,"""05190""",Leadville,https://www.schooldigger.com/go/CO/city/Leadville/search.aspx,80461,Lake County,PK,12,1102,1,1,1,0.1045146,(n/a),(n/a),(n/a),0
83,Springfield School District No. Re-4,https://www.schooldigger.com/go/CO/district/06630/search.aspx,"""06630""",Springfield,https://www.schooldigger.com/go/CO/city/Springfield/search.aspx,81073,Baca County,PK,12,309,1,0,0,0.0697012,0.483436,57,-26,0
,Agate School District No. 300,https://www.schooldigger.com/go/CO/district/01980/search.aspx,"""01980""",Agate,https://www.schooldigger.com/go/CO/city/Agate/search.aspx,80101,Elbert County,PK,12,44,,,,(n/a),(n/a),(n/a),(n/a),
,Aguilar Reorganized School District No. 6,https://www.schooldigger.com/go/CO/district/02010/search.aspx,"""02010""",Aguilar,https://www.schooldigger.com/go/CO/city/Aguilar/search.aspx,81020,Las Animas County,PK,12,121,,,,(n/a),(n/a),(n/a),(n/a),
,Alamosa School District No. Re-11J,https://www.schooldigger.com/go/CO/district/02070/search.aspx,"""02070""",Alamosa,https://www.schooldigger.com/go/CO/city/Alamosa/search.aspx,81101,Alamosa County,PK,12,2298,,,,(n/a),(n/a),(n/a),(n/a),
,Archuleta County School District No. 50 Jt,https://www.schooldigger.com/go/CO/district/02190/search.aspx,"""02190""",Pagosa Springs,https://www.schooldigger.com/go/CO/city/Pagosa+Springs/search.aspx,81147,Archuleta County,PK,12,1742,,,,(n/a),(n/a),(n/a),(n/a),
,Arickaree School District No. R-2,https://www.schooldigger.com/go/CO/district/02220/search.aspx,"""02220""",Anton,https://www.schooldigger.com/go/CO/city/Anton/search.aspx,80801,Washington County,PK,12,114,,,,(n/a),(n/a),(n/a),(n/a),
,Arriba-Flagler Consolidated School District No. 20,https://www.schooldigger.com/go/CO/district/02260/search.aspx,"""02260""",Flagler,https://www.schooldigger.com/go/CO/city/Flagler/search.aspx,80815,Kit Carson County,PK,12,152,,,,(n/a),(n/a),(n/a),(n/a),
,Aspen School District No. 1,https://www.schooldigger.com/go/CO/district/02280/search.aspx,"""02280""",Aspen,https://www.schooldigger.com/go/CO/city/Aspen/search.aspx,81611,Pitkin County,PK,12,1653,,,,(n/a),(n/a),(n/a),(n/a),
,Bethune School District No. R- 5,https://www.schooldigger.com/go/CO/district/02460/search.aspx,"""02460""",Bethune,https://www.schooldigger.com/go/CO/city/Bethune/search.aspx,80805,Kit Carson County,PK,12,118,,,,(n/a),(n/a),(n/a),(n/a),
,Big Sandy School District No. 100J,https://www.schooldigger.com/go/CO/district/06600/search.aspx,"""06600""",Simla,https://www.schooldigger.com/go/CO/city/Simla/search.aspx,80835,Elbert County,PK,12,335,,,,(n/a),(n/a),(n/a),(n/a),
,Branson Reorganized School District No. 82,https://www.schooldigger.com/go/CO/district/02520/search.aspx,"""02520""",Branson,https://www.schooldigger.com/go/CO/city/Branson/search.aspx,81027,Las Animas County,PK,12,431,,,,(n/a),(n/a),(n/a),(n/a),
,Burlington Public School District No. Re-6j,https://www.schooldigger.com/go/CO/district/02670/search.aspx,"""02670""",Burlington,https://www.schooldigger.com/go/CO/city/Burlington/search.aspx,80807,Kit Carson County,PK,12,778,,,,(n/a),(n/a),(n/a),(n/a),
,Byers School District No. 32J,https://www.schooldigger.com/go/CO/district/02700/search.aspx,"""02700""",Byers,https://www.schooldigger.com/go/CO/city/Byers/search.aspx,80103,Arapahoe County,PK,12,2344,,,,(n/a),(n/a),(n/a),(n/a),
,Campo School District No. Re-6,https://www.schooldigger.com/go/CO/district/02760/search.aspx,"""02760""",Campo,https://www.schooldigger.com/go/CO/city/Campo/search.aspx,81029,Baca County,PK,12,42,,,,(n/a),(n/a),(n/a),(n/a),
,Centennial BOCES,https://www.schooldigger.com/go/CO/district/99200/search.aspx,"""99200""",Greeley,https://www.schooldigger.com/go/CO/city/Greeley/search.aspx,80634,Weld County,10,12,139,,,,(n/a),(n/a),(n/a),(n/a),
,Centennial School District No. R-1,https://www.schooldigger.com/go/CO/district/06360/search.aspx,"""06360""",San Luis,https://www.schooldigger.com/go/CO/city/San+Luis/search.aspx,81152,Costilla County,PK,12,219,,,,(n/a),(n/a),(n/a),(n/a),
,Center Consolidated School District No. 26 Jt.,https://www.schooldigger.com/go/CO/district/02850/search.aspx,"""02850""",Center,https://www.schooldigger.com/go/CO/city/Center/search.aspx,81125,Rio Grande County,PK,12,606,,,,(n/a),(n/a),(n/a),(n/a),
,Cheraw School District No. 31,https://www.schooldigger.com/go/CO/district/02880/search.aspx,"""02880""",Cheraw,https://www.schooldigger.com/go/CO/city/Cheraw/search.aspx,81030,Otero County,PK,12,224,,,,(n/a),(n/a),(n/a),(n/a),
,Cheyenne County School District No. Re-5,https://www.schooldigger.com/go/CO/district/00001/search.aspx,"""00001""",Cheyenne Wells,https://www.schooldigger.com/go/CO/city/Cheyenne+Wells/search.aspx,80810,Cheyenne County,PK,12,197,,,,(n/a),(n/a),(n/a),(n/a),
,Clear Creek School District No. Re-1,https://www.schooldigger.com/go/CO/district/03000/search.aspx,"""03000""",Idaho Springs,https://www.schooldigger.com/go/CO/city/Idaho+Springs/search.aspx,80452,Clear Creek County,PK,12,717,,,,(n/a),(n/a),(n/a),(n/a),
,Colorado River BOCES,https://www.schooldigger.com/go/CO/district/00292/search.aspx,"""00292""",Parachute,https://www.schooldigger.com/go/CO/city/Parachute/search.aspx,81635,Garfield County,06,12,168,,,,(n/a),(n/a),(n/a),(n/a),
,Colorado School for the Deaf and Blind,https://www.schooldigger.com/go/CO/district/00023/search.aspx,"""00023""",Colorado Springs,https://www.schooldigger.com/go/CO/city/Colorado+Springs/search.aspx,80903,El Paso County,PK,12,189,,,,(n/a),(n/a),(n/a),(n/a),
,Creede School District,https://www.schooldigger.com/go/CO/district/03150/search.aspx,"""03150""",Creede,https://www.schooldigger.com/go/CO/city/Creede/search.aspx,81130,Mineral County,PK,12,81,,,,(n/a),(n/a),(n/a),(n/a),
,Cripple Creek-Victor School District No. Re-1,https://www.schooldigger.com/go/CO/district/03180/search.aspx,"""03180""",Cripple Creek,https://www.schooldigger.com/go/CO/city/Cripple+Creek/search.aspx,80813,Teller County,PK,12,367,,,,(n/a),(n/a),(n/a),(n/a),
,De Beque Joint District No. 49,https://www.schooldigger.com/go/CO/district/03240/search.aspx,"""03240""",De Beque,https://www.schooldigger.com/go/CO/city/De+Beque/search.aspx,81630,Mesa County,PK,12,164,,,,(n/a),(n/a),(n/a),(n/a),
,Deer Trail School District No. 26J,https://www.schooldigger.com/go/CO/district/03270/search.aspx,"""03270""",Deer Trail,https://www.schooldigger.com/go/CO/city/Deer+Trail/search.aspx,80105,Arapahoe County,PK,12,253,,,,(n/a),(n/a),(n/a),(n/a),
,Denver 1,https://www.schooldigger.com/go/CO/district/00004/search.aspx,"""00004""",Denver,https://www.schooldigger.com/go/CO/city/Denver/search.aspx,80222,Denver County,KG,12,368,,,,(n/a),(n/a),(n/a),(n/a),
,Division of Youth Services,https://www.schooldigger.com/go/CO/district/00286/search.aspx,"""00286""",Denver,https://www.schooldigger.com/go/CO/city/Denver/search.aspx,80236,Denver County,05,12,0,,,,(n/a),(n/a),(n/a),(n/a),
,Dolores County School District Re-2j,https://www.schooldigger.com/go/CO/district/03420/search.aspx,"""03420""",Dove Creek,https://www.schooldigger.com/go/CO/city/Dove+Creek/search.aspx,81324,Dolores County,PK,12,232,,,,(n/a),(n/a),(n/a),(n/a),
,East Otero School District No. R1,https://www.schooldigger.com/go/CO/district/05130/search.aspx,"""05130""",La Junta,https://www.schooldigger.com/go/CO/city/La+Junta/search.aspx,81050,Otero County,PK,12,1422,,,,(n/a),(n/a),(n/a),(n/a),
,Edison Joint District No. 54,https://www.schooldigger.com/go/CO/district/03630/search.aspx,"""03630""",Yoder,https://www.schooldigger.com/go/CO/city/Yoder/search.aspx,80864,El Paso County,PK,12,243,,,,(n/a),(n/a),(n/a),(n/a),
,Education Reenvisioned BOCES,https://www.schooldigger.com/go/CO/district/00282/search.aspx,"""00282""",Monument,https://www.schooldigger.com/go/CO/city/Monument/search.aspx,80132,El Paso County,KG,12,2836,,,,(n/a),(n/a),(n/a),(n/a),
,Englewood School District No. 1,https://www.schooldigger.com/go/CO/district/03780/search.aspx,"""03780""",Englewood,https://www.schooldigger.com/go/CO/city/Englewood/search.aspx,80110,Arapahoe County,PK,12,2634,,,,(n/a),(n/a),(n/a),(n/a),
,Fremont Re-3,https://www.schooldigger.com/go/CO/district/03120/search.aspx,"""03120""",Cotopaxi,https://www.schooldigger.com/go/CO/city/Cotopaxi/search.aspx,81223,Fremont County,PK,12,229,,,,(n/a),(n/a),(n/a),(n/a),
,Genoa-Hugo School District No. C-113,https://www.schooldigger.com/go/CO/district/04740/search.aspx,"""04740""",Hugo,https://www.schooldigger.com/go/CO/city/Hugo/search.aspx,80821,Lincoln County,PK,12,220,,,,(n/a),(n/a),(n/a),(n/a),
,Granada School District No. Re-1,https://www.schooldigger.com/go/CO/district/04290/search.aspx,"""04290""",Granada,https://www.schooldigger.com/go/CO/city/Granada/search.aspx,81041,Prowers County,PK,12,197,,,,(n/a),(n/a),(n/a),(n/a),
,Hanover School District No. 28,https://www.schooldigger.com/go/CO/district/04500/search.aspx,"""04500""",Colorado Springs,https://www.schooldigger.com/go/CO/city/Colorado+Springs/search.aspx,80928,El Paso County,PK,12,258,,,,(n/a),(n/a),(n/a),(n/a),
,Haxtun School District No. Re-2J,https://www.schooldigger.com/go/CO/district/04560/search.aspx,"""04560""",Haxtun,https://www.schooldigger.com/go/CO/city/Haxtun/search.aspx,80731,Phillips County,PK,12,345,,,,(n/a),(n/a),(n/a),(n/a),
,Hayden School District No. Re 1,https://www.schooldigger.com/go/CO/district/04590/search.aspx,"""04590""",Hayden,https://www.schooldigger.com/go/CO/city/Hayden/search.aspx,81639,Routt County,PK,12,420,,,,(n/a),(n/a),(n/a),(n/a),
,High-Plains R-23,https://www.schooldigger.com/go/CO/district/06510/search.aspx,"""06510""",Seibert,https://www.schooldigger.com/go/CO/city/Seibert/search.aspx,80834,Kit Carson County,PK,12,130,,,,(n/a),(n/a),(n/a),(n/a),
,Hinsdale County School District No. Re-1,https://www.schooldigger.com/go/CO/district/04620/search.aspx,"""04620""",Lake City,https://www.schooldigger.com/go/CO/city/Lake+City/search.aspx,81235,Hinsdale County,PK,12,87,,,,(n/a),(n/a),(n/a),(n/a),
,Hoehne Reorganized School District No. 3,https://www.schooldigger.com/go/CO/district/04650/search.aspx,"""04650""",Trinidad,https://www.schooldigger.com/go/CO/city/Trinidad/search.aspx,81082,Las Animas County,PK,12,365,,,,(n/a),(n/a),(n/a),(n/a),
,Holly School District No. Re-3,https://www.schooldigger.com/go/CO/district/04680/search.aspx,"""04680""",Holly,https://www.schooldigger.com/go/CO/city/Holly/search.aspx,81047,Prowers County,PK,12,304,,,,(n/a),(n/a),(n/a),(n/a),
,Holyoke School District No. Re-1J,https://www.schooldigger.com/go/CO/district/04710/search.aspx,"""04710""",Holyoke,https://www.schooldigger.com/go/CO/city/Holyoke/search.aspx,80734,Phillips County,PK,12,587,,,,(n/a),(n/a),(n/a),(n/a),
,Huerfano School District Re-1,https://www.schooldigger.com/go/CO/district/07080/search.aspx,"""07080""",Walsenburg,https://www.schooldigger.com/go/CO/city/Walsenburg/search.aspx,81089,Huerfano County,PK,12,541,,,,(n/a),(n/a),(n/a),(n/a),
,Idalia Rj-3 School District,https://www.schooldigger.com/go/CO/district/00018/search.aspx,"""00018""",Idalia,https://www.schooldigger.com/go/CO/city/Idalia/search.aspx,80735,Yuma County,PK,12,200,,,,(n/a),(n/a),(n/a),(n/a),
,Julesburg School District No. Re1,https://www.schooldigger.com/go/CO/district/04860/search.aspx,"""04860""",Julesburg,https://www.schooldigger.com/go/CO/city/Julesburg/search.aspx,80737,Sedgwick County,PK,12,829,,,,(n/a),(n/a),(n/a),(n/a),
,Karval School District No. Re 23,https://www.schooldigger.com/go/CO/district/04890/search.aspx,"""04890""",Karval,https://www.schooldigger.com/go/CO/city/Karval/search.aspx,80823,Lincoln County,PK,12,55,,,,(n/a),(n/a),(n/a),(n/a),
,Kim Reorganized School District No. 88,https://www.schooldigger.com/go/CO/district/04980/search.aspx,"""04980""",Kim,https://www.schooldigger.com/go/CO/city/Kim/search.aspx,81049,Las Animas County,PK,12,48,,,,(n/a),(n/a),(n/a),(n/a),
,Kiowa County School District No. Re-1,https://www.schooldigger.com/go/CO/district/03510/search.aspx,"""03510""",Eads,https://www.schooldigger.com/go/CO/city/Eads/search.aspx,81036,Kiowa County,PK,12,203,,,,(n/a),(n/a),(n/a),(n/a),
,Kiowa County School District No. Re-2,https://www.schooldigger.com/go/CO/district/06930/search.aspx,"""06930""",Sheridan Lake,https://www.schooldigger.com/go/CO/city/Sheridan+Lake/search.aspx,81071,Kiowa County,PK,12,57,,,,(n/a),(n/a),(n/a),(n/a),
,Kit Carson School District No. R-1,https://www.schooldigger.com/go/CO/district/05040/search.aspx,"""05040""",Kit Carson,https://www.schooldigger.com/go/CO/city/Kit+Carson/search.aspx,80825,Cheyenne County,PK,12,109,,,,(n/a),(n/a),(n/a),(n/a),
,La Veta School District Re-2,https://www.schooldigger.com/go/CO/district/05160/search.aspx,"""05160""",La Veta,https://www.schooldigger.com/go/CO/city/La+Veta/search.aspx,81055,Huerfano County,PK,12,212,,,,(n/a),(n/a),(n/a),(n/a),
,Las Animas School District No. Re-1,https://www.schooldigger.com/go/CO/district/05250/search.aspx,"""05250""",Las Animas,https://www.schooldigger.com/go/CO/city/Las+Animas/search.aspx,81054,Bent County,PK,12,2406,,,,(n/a),(n/a),(n/a),(n/a),
,Liberty J-4 School District,https://www.schooldigger.com/go/CO/district/00019/search.aspx,"""00019""",Joes,https://www.schooldigger.com/go/CO/city/Joes/search.aspx,80822,Yuma County,PK,12,68,,,,(n/a),(n/a),(n/a),(n/a),
,Lone Star School District No. 101,https://www.schooldigger.com/go/CO/district/05340/search.aspx,"""05340""",Otis,https://www.schooldigger.com/go/CO/city/Otis/search.aspx,80743,Washington County,KG,12,130,,,,(n/a),(n/a),(n/a),(n/a),
,Mancos School District Re-6,https://www.schooldigger.com/go/CO/district/05460/search.aspx,"""05460""",Mancos,https://www.schooldigger.com/go/CO/city/Mancos/search.aspx,81328,Montezuma County,PK,12,507,,,,(n/a),(n/a),(n/a),(n/a),
