Rank,District,District URL,district_id,City,City URL,Zip,County,Low Grade,High Grade,Number Students,Number of Ranked Elementary Schools,Number of Ranked Middle Schools,Number of Ranked High Schools,Rank Score (2021),Rank Score (2020),Rank (2020),Rank Change from 2020,SchoolDigger Star Rating (2021)
,School District No. Re-10,https://www.schooldigger.com/go/CO/district/02550/search.aspx,"""02550""",Briggsdale,https://www.schooldigger.com/go/CO/city/Briggsdale/search.aspx,80611,Weld County,PK,12,184,,,,(n/a),(n/a),(n/a),(n/a),
,School District No. Re-11,https://www.schooldigger.com/go/CO/district/06720/search.aspx,"""06720""",New Raymer,https://www.schooldigger.com/go/CO/city/New+Raymer/search.aspx,80742,Weld County,PK,12,222,,,,(n/a),(n/a),(n/a),(n/a),
,School District No. Re-12,https://www.schooldigger.com/go/CO/district/04440/search.aspx,"""04440""",Grover,https://www.schooldigger.com/go/CO/city/Grover/search.aspx,80729,Weld County,PK,12,82,,,,(n/a),(n/a),(n/a),(n/a),
,School District No. Re-2 Brush,https://www.schooldigger.com/go/CO/district/02610/search.aspx,"""02610""",Brush,https://www.schooldigger.com/go/CO/city/Brush/search.aspx,80723,Morgan County,PK,12,1429,,,,(n/a),(n/a),(n/a),(n/a),
,School District No. Re-3 Fort Morgan,https://www.schooldigger.com/go/CO/district/04050/search.aspx,"""04050""",Fort Morgan,https://www.schooldigger.com/go/CO/city/Fort+Morgan/search.aspx,80701,Morgan County,PK,12,3473,,,,(n/a),(n/a),(n/a),(n/a),
,School District No. Re-3 Frenchman,https://www.schooldigger.com/go/CO/district/03930/search.aspx,"""03930""",Fleming,https://www.schooldigger.com/go/CO/city/Fleming/search.aspx,80728,Logan County,PK,12,207,,,,(n/a),(n/a),(n/a),(n/a),
,School District No. Re-4 Buffalo,https://www.schooldigger.com/go/CO/district/05640/search.aspx,"""05640""",Merino,https://www.schooldigger.com/go/CO/city/Merino/search.aspx,80741,Logan County,PK,12,302,,,,(n/a),(n/a),(n/a),(n/a),
,School District No. Re-5 Plateau,https://www.schooldigger.com/go/CO/district/06030/search.aspx,"""06030""",Peetz,https://www.schooldigger.com/go/CO/city/Peetz/search.aspx,80747,Logan County,PK,12,165,,,,(n/a),(n/a),(n/a),(n/a),
,Sheridan School District No. 2,https://www.schooldigger.com/go/CO/district/06540/search.aspx,"""06540""",Englewood,https://www.schooldigger.com/go/CO/city/Englewood/search.aspx,80110,Arapahoe County,PK,12,1359,,,,(n/a),(n/a),(n/a),(n/a),
,Sierra Grande School District No. R-30,https://www.schooldigger.com/go/CO/district/04140/search.aspx,"""04140""",Blanca,https://www.schooldigger.com/go/CO/city/Blanca/search.aspx,81123,Costilla County,PK,12,269,,,,(n/a),(n/a),(n/a),(n/a),
,Silverton School District No. 1,https://www.schooldigger.com/go/CO/district/06570/search.aspx,"""06570""",Silverton,https://www.schooldigger.com/go/CO/city/Silverton/search.aspx,81433,San Juan County,PK,12,81,,,,(n/a),(n/a),(n/a),(n/a),
,South Conejos School District No. Re10,https://www.schooldigger.com/go/CO/district/02130/search.aspx,"""02130""",Antonito,https://www.schooldigger.com/go/CO/city/Antonito/search.aspx,81120,Conejos County,PK,12,150,,,,(n/a),(n/a),(n/a),(n/a),
,Steamboat Springs School District No. Re 2,https://www.schooldigger.com/go/CO/district/06660/search.aspx,"""06660""",Steamboat Springs,https://www.schooldigger.com/go/CO/city/Steamboat+Springs/search.aspx,80487,Routt County,PK,12,2653,,,,(n/a),(n/a),(n/a),(n/a),
,Summit School District No. Re 1,https://www.schooldigger.com/go/CO/district/06810/search.aspx,"""06810""",Frisco,https://www.schooldigger.com/go/CO/city/Frisco/search.aspx,80443,Summit County,PK,12,3582,,,,(n/a),(n/a),(n/a),(n/a),
,Trinidad School District 1,https://www.schooldigger.com/go/CO/district/06960/search.aspx,"""06960""",Trinidad,https://www.schooldigger.com/go/CO/city/Trinidad/search.aspx,81082,Las Animas County,PK,12,881,,,,(n/a),(n/a),(n/a),(n/a),
,Vilas School District Re-5,https://www.schooldigger.com/go/CO/district/06990/search.aspx,"""06990""",Vilas,https://www.schooldigger.com/go/CO/city/Vilas/search.aspx,81087,Baca County,PK,12,103,,,,(n/a),(n/a),(n/a),(n/a),
,Walsh School District No. Re-1,https://www.schooldigger.com/go/CO/district/07110/search.aspx,"""07110""",Walsh,https://www.schooldigger.com/go/CO/city/Walsh/search.aspx,81090,Baca County,PK,12,154,,,,(n/a),(n/a),(n/a),(n/a),
,Weld County School District No. Re-2,https://www.schooldigger.com/go/CO/district/03600/search.aspx,"""03600""",Eaton,https://www.schooldigger.com/go/CO/city/Eaton/search.aspx,80615,Weld County,PK,12,1968,,,,(n/a),(n/a),(n/a),(n/a),
,Weld County School District No. Re-9,https://www.schooldigger.com/go/CO/district/02310/search.aspx,"""02310""",Ault,https://www.schooldigger.com/go/CO/city/Ault/search.aspx,80610,Weld County,PK,12,943,,,,(n/a),(n/a),(n/a),(n/a),
,West End School District No. Re-2,https://www.schooldigger.com/go/CO/district/05850/search.aspx,"""05850""",Nucla,https://www.schooldigger.com/go/CO/city/Nucla/search.aspx,81424,Montrose County,PK,12,272,,,,(n/a),(n/a),(n/a),(n/a),
,West Grand School District No. 1,https://www.schooldigger.com/go/CO/district/05070/search.aspx,"""05070""",Kremmling,https://www.schooldigger.com/go/CO/city/Kremmling/search.aspx,80459,Grand County,PK,12,434,,,,(n/a),(n/a),(n/a),(n/a),
,Westminster Public Schools,https://www.schooldigger.com/go/CO/district/07230/search.aspx,"""07230""",Westminster,https://www.schooldigger.com/go/CO/city/Westminster/search.aspx,80030,Adams County,PK,12,9089,,,,(n/a),(n/a),(n/a),(n/a),
,Woodlin School District No. R-104,https://www.schooldigger.com/go/CO/district/07410/search.aspx,"""07410""",Woodrow,https://www.schooldigger.com/go/CO/city/Woodrow/search.aspx,80757,Washington County,PK,12,85,,,,(n/a),(n/a),(n/a),(n/a),
